編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
B2-100,B2,050,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"參考下圖程式碼,下列描述何者正確?",(1) cm 表示混淆矩陣，橫列表測試集的預測值,(2) 混淆矩陣對角線數值皆大於非對角線數值表示模型過度擬合,"(3) f1_score 參數average=""weighted""表示計算平均f1_score",(4) f1_score 計算時採用各類別精確率（Precision）與召回率（Recall）的調和平均，並 加權考量類別不平衡性,4,assets/q_images/B2-100.png
B3-051,B3,001,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某量化投資團隊需估算某投資組合未來30 日的風險值。由於衍生性金融商品的 定價模型過於複雜，無法以解析解直接求得，工程師因此採用隨機模擬方式，產 生大量市場情境模擬並估計損失分布。此方法屬於下列哪一種技術框架？,(1) 馬可夫鏈（Markov Chain）：以狀態轉移機率描述系統演變的隨機過程,(2) 梯度下降最佳化（Gradient Descent）：透過迭代更新參數以最小化損失函數,(3) 蒙地卡羅方法（Monte Carlo Method）：透過大量隨機抽樣近似機率分布或數值 結果,(4) 貝氏推論（Bayesian Inference）：結合先驗分布與資料更新後驗機率,3,
B3-052,B3,002,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師在建立房價預測模型時，訓練資料中存在少數豪宅（成交價超過一般物 件10 倍以上）。若工程師希望模型對這些極端高價物件的預測誤差更敏感，並在 訓練時產生較大的梯度更新影響，應優先選擇下列哪種損失函數？,(1) 平均絕對誤差（MAE）：對誤差進行線性懲罰，對離群值較不敏感，梯度近似 固定,(2) Huber 損失（Huber Loss）：小誤差採平方懲罰，大誤差轉為線性懲罰，以降低 離群值影響,(3) 均方誤差（MSE）：對誤差進行平方處理，使大誤差產生更大的懲罰與梯度,(4) 交叉熵損失（Cross-Entropy Loss）：用於分類問題的機率分布差異衡量,3,
B3-053,B3,003,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,"某工程師在撰寫Transformer 的Attention 層時，需手動驗證矩陣維度是否相容。 輸入矩陣Q 已攤平成形狀為(1, 10)，Query 投影權重矩陣WQ 形狀為(10, 64)。執 行Q x WQ 後輸出的形狀為何？","(1) (1, 64)","(2) (10, 10)","(3) (64, 1)",(4) 維度不相容，無法相乘,1,
B3-054,B3,004,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某AI 團隊同時開發多個影像辨識系統，並在訓練流程中統一加入資料擴增策略 （包含隨機水平翻轉）以提升模型泛化能力。實驗後發現，部分任務的測試表現 明顯下降。下列哪一項任務最可能因該資料擴增策略引入語意錯誤（Semantic Inconsistency），使同一樣本在翻轉後對應不同類別標籤，進而影響模型學習？,(1) 寵物監控中的貓狗分類,(2) 車輛辨識中的車型分類,(3) 手寫數字辨識,(4) 道路場景中的行人偵測,3,
B3-055,B3,005,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師完成多元線性迴歸模型後，繪製殘差圖（Residual Plot），發現殘差隨預 第三科：機器學習技術與應用 答案 題目 測值增大而呈現擴散現象（右側明顯比左側分散）。此現象最可能代表什麼問題？,(1) 殘差之間存在關聯,(2) 特徵之間高度相關,(3) 殘差變異數不一致,(4) 殘差不符合常態分布,3,
B3-056,B3,006,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某資料科學家欲對512 維詞嵌入向量（共10 萬筆）進行視覺化以探索群集結構， 同時另一工程師需將200 個製程特徵降維後作為XGBoost 的輸入特徵。關於t- SNE 與PCA 選型，下列敘述何者最正確？,(1) t-SNE 保留全局線性結構，適合作為XGBoost 的降維前處理,(2) t-SNE 保留局部鄰域結構，適合視覺化；但不保留全局結構，不適合作為模型 輸入特徵,(3) PCA 為非線性降維方法，能保留複雜流形結構,(4) t-SNE 與PCA 皆可直接對新資料進行線性外推,2,
B3-057,B3,007,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某金融團隊建立信貸風險模型，特徵工程後共產生200 個變數，其中「月收入」、 「年收入」、「季收入」三者高度相關。模型上線後業務單位反映：每次重新訓練 後，模型輸出的重要特徵清單在這些高度相關特徵間反覆變動，難以向審查單位 解釋。請問下列何者為造成此現象最可能的原因？,(1) 模型使用L2 正則化，導致所有特徵係數被壓縮至接近零，重要性難以區分,(2) 模型使用L1 正則化，面對高度相關特徵時隨機保留其中之一，導致每次訓練 保留的特徵不穩定,(3) 模型未使用任何正則化，過擬合導致係數每次收斂至不同極值,(4) 特徵數量過多導致梯度消失，應優先進行PCA 降維再套用正則化,2,
B3-058,B3,008,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某深度學習工程師訓練ResNet 時，發現模型在前幾個Epoch 驗證損失快速下降， 但從第15 個Epoch 起驗證損失開始上升，而訓練損失持續下降。工程師將學習 率調高後，訓練損失反而開始明顯震盪。學習率過大最直接導致下列哪種現象？,(1) 梯度消失（Gradient Vanishing）：梯度在反向傳播中逐層縮小趨近於零，底層 無法學習,(2) 損失函數震盪或發散（Oscillation / Divergence）：每次更新步伐過大，參數在 最優點兩側反覆跳越，無法穩定收斂,(3) 過擬合（Overfitting）：模型記憶訓練資料的雜訊，泛化能力下降,(4) 死亡ReLU（Dying ReLU）：大量神經元輸出永久為零，停止參與梯度更新,2,
B3-059,B3,009,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師訓練深度神經網路時發現損失函數震盪嚴重且收斂速度慢，改用Adam 優化器後訓練變得穩定且收斂更快。下列何者為Adam 能改善此問題的主要原 因？ 第三科：機器學習技術與應用 答案 題目,(1) 同時結合一階動量（Momentum）與自適應學習率（Adaptive Learning Rate）， 為每個參數調整更新步長,(2) 強制所有參數使用相同學習率（Learning Rate），避免梯度差異造成不穩定,(3) 透過批次正規化（Batch Normalization）重新分布輸入資料,(4) 將梯度裁剪為固定範圍以避免梯度爆炸（Gradient Explosion）,1,
B3-060,B3,010,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師同時開發兩個模型：一個預測使用者「隔日App 使用時長（分鐘）」，另 一個預測使用者「隔日是否流失（是/否）」。關於上述兩個任務，他應分別選擇哪 種適當的損失函數？,(1) 使用時長預測：均方誤差（MSE）；流失預測：二元交叉熵（Binary Cross- Entropy）,(2) 使用時長預測：交叉熵損失（Cross-Entropy）；流失預測：均方誤差（MSE）,(3) 使用時長預測：Hinge 損失（Hinge Loss）；流失預測：MAE（平均絕對誤差）,(4) 兩個任務均使用交叉熵損失，因為兩者的輸出都有不確定性,1,assets/q_images/B3-060.png
B3-061,B3,011,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師在A100 GPU 叢集上訓練大型語言模型，觀察到以下現象：全批次梯度 下降時GPU 利用率達100%，但每次更新耗時45 秒；隨機梯度下降（SGD）每 次更新僅需0.01 秒，但梯度極不穩定、訓練曲線震盪劇烈。為兼顧梯度穩定性與 GPU 吞吐量（Throughput），應採用下列哪種策略？,(1) 全批次梯度下降（Full-batch GD）：使用完整資料集計算梯度，更新穩定但每 次更新耗時長,(2) 隨機梯度下降（SGD）：每次只用一個樣本，速度快但梯度雜訊大，收斂不穩 定,(3) 第二階梯度法（Newton's Method）：利用Hessian 矩陣精確估計曲率，大幅減 少更新次數,(4) 小批次梯度下降（Mini-batch GD）：以適當批次大小（如256-2048）平衡梯度 估計穩定性與GPU 平行效率，是深度學習的業界標準,4,
B3-062,B3,012,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某醫院導入肺癌篩檢模型，資料集中正常病例佔99%、肺癌陽性僅佔1%。模型 上線後，系統報告整體準確率（Accuracy）為99.1%。醫師對此數字感到疑慮， 認為不足以評估臨床價值，在漏診風險上可能存在重大問題。請問在此情境下， 僅以Accuracy 作為評估指標最嚴重的缺陷為何？,(1) Accuracy 對類別不平衡不敏感，可能無法反映模型對肺癌陽性的偵測能力,(2) Accuracy 的計算不包含模型對邊界樣本的分類結果，容易遺漏困難樣本,(3) Accuracy 無法處理多分類問題，在二元分類下需改用AUC,(4) Accuracy 無法揭示模型的收斂速度，因此不適合用來選擇最終模型,1,
B3-063,B3,013,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某工程師訓練文本情感分類模型，訓練集F1=0.96、驗證集F1=0.71，落差明顯， 第三科：機器學習技術與應用 答案 題目 顯示模型出現過擬合。下列哪一種策略能最直接從降低模型複雜度的角度緩解過 擬合？,(1) 增加訓練Epoch 數至200，讓模型充分學習訓練資料的所有細節,(2) 引入更多原始文本特徵（包括原始URL、HTML 標籤），增加特徵多樣性,(3) 對Embedding 層與全連結層加入L2 權重衰減（Weight Decay），懲罰參數值,(4) 移除驗證集並將其併入訓練集，以增加模型可見的訓練樣本數,3,
B3-064,B3,014,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某電商平台使用樸素貝氏分類器（Naive Bayes Classifier）建立垃圾郵件過濾模型。 訓練集準確率（Accuracy）達92%，但上線後發現，包含「限時優惠、立即下單 享折扣」等關鍵字的正常促銷郵件，常被誤判為垃圾信。經分析發現，這些詞彙 在訓練資料中多出現在垃圾郵件中，導致其類別條件機率偏高。請問造成此現象 的最主要原因與較適當的改善方式為何？,(1) 應禁用Naive Bayes，改用其他更先進演算法,(2) 模型過擬合於訓練資料，應增加Epoch 數以提升泛化能力,(3) 類別條件機率受訓練資料分布影響，導致促銷關鍵字被視為垃圾信特徵，應重 新平衡資料或調整先驗機率,(4) 模型未進行特徵標準化（Feature Scaling），導致分類邊界偏移，應先進行正規 化處理,3,
B3-065,B3,015,115年第一次中級AI應用規劃師第三科機器學習技術與應用公告試題,某資料科學家將客戶資料進行分群，使用K-means（K=5）後發現部分群集呈現 半月形（非凸）結構，且資料中存在少數離群值（Outliers）。他同時觀察到每次 執行結果略有不同。下列敘述何者最完整且準確地反映K-means 在此情境中的已 知限制？,(1) K-means 無法處理維度超過10 的資料，在高維空間中距離計算失效,(2) K-means 假設群集為高斯分佈，無法處理任何非球形群集,(3) K-means 對K 值敏感，但初始化不影響最終結果（演算法保證全局最優）,(4) K-means 需預先指定K；以歐氏距離為基礎，難以處理非凸群集；對初始化與 離群值敏感,4,
